Name,URL,Scientific name,Description,Habitat,Diet
Aardvark,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351448/Aardvark_p7d9k3.png,Orycteropus afer,"They belong to the same group of mammals as the African elephant and have no relation to anteaters despite their similar appearance. They have a short neck connected to a strong, large, almost hairless body with an arched back. Their legs are not proportional to each other; the hind legs are longer than the front ones. They have an elongated head, with a long, protruding, narrow snout and nostrils that can be sealed. Their ears are long and tubular and are normally held upright but can be folded and closed. Their tapered, cone-shaped tail is short and muscular, and they have thick claws on the forefeet that are well adapted for digging.","All savanna types, rainforests, woodlands, and thickets","Insectivorous, Myrmecophagous"
African Buffalo,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351448/African_Buffalo_unafup.png,Syncerus caffer,"There is only one species of buffalo in Africa but four distinct subspecies exist: forest buffalo, West African savanna buffalo, Central African buffalo, and southern savanna buffalo (also known as the Cape buffalo).  Savanna buffaloes are large, heavy cow-like animals. They vary greatly not only in size but in the shapes of their horns and their coloring. Adults are usually dark gray or black (or even look red or white if they have been wallowing in mud of that color) and the young are often reddish-brown. The smaller forest buffalo maintains the red color even as an adult, although in western Uganda, many savanna buffaloes are also red or pale orange instead of black. Adults lose hair as they age.  Both males and females have heavy, ridged horns that grow straight out from the head or curve downward and then up. The horns are formidable weapons against predators and are used when jostling for space within the herd; males use the horns in fights for dominance.",Dense forest to open plains,Herbivorous
African Hare,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351448/African_Hare_yecqiu.png,Lepus victoriae,"This nocturnal savanna mammal is covered in coarse, thick fur, and measures about 50 centimeters (20 inches). It has a short tail and strong hind feet that measure about 17 centimeters (4 inches). The African hare, like the closely related cape hare (or desert hare), has mobile ears that are as long if not sometimes longer than their bodies. Helping it to cut and nip at vegetation are two pairs of chisel-shaped incisors, which display a distinctive groove pattern that sets it apart from the cape hare.",Scrubby grasslands within wooded savannas,Herbivorous
African Wild Dog,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351448/African_Wild_Dog_knu1sa.png,Lycaon pictus,"The wild dog — also sometimes called the hunting dog or African painted dog — has a colorful, patchy coat; large bat-like ears; and a bushy tail with a white tip that may serve as a flag to keep the pack in contact while hunting. No two wild dogs are marked exactly the same, making it easy to identify individuals.",Dense forest to open plains,Carnivorous
Baboon,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351450/Baboon_xan7j2.png,Olive baboon (Papio anubis) Yellow baboon (Papio cynocephalus) Sacred baboon (Papio hamadryas) Chacma baboon (Papio ursinus) Guinea baboon (Papio papio),"They are some of the world’s largest monkeys. There are five species of the baboon — olive, yellow, chacma, Guinea, and sacred — scattered across various habitat in Africa and Arabia. The olive baboon is the most extensively distributed of the baboon family. The baboon, like other Old World monkeys, does not have a prehensile (gripping) tail — meaning their tails are not used as a hand — but they are still able to climb when necessary. They all have dog-like noses, powerful jaws, sharp canine teeth, and thick fur. Males have a longer mane around the neck, called a ruff.",Savannas and woodlands,Omnivorous
Bat,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351450/Bat_yuruvq.png,Over 200 species of African bats — Africa is home to 20 percent of the world’s bats.,"After rodents, they are the most numerous mammals on earth. African bats fall into two major categories: large fruit bats and smaller, insect-eating bats, neither of which attacks people. In addition to a difference in size between the two types, there is a great variation in the extent and details of the wings, which are formed by the naked membrane of skin that extends from the neck to the wrist and between the fingers, and finally to the tail. Wing shapes vary from species to species. Usually, the swift fliers have long, narrow wings while the slow fliers have broad, rounded ones.  The bones of the hand that support the wing membrane are unusually long. The hind legs are rotated 180 degrees at the hip joint, so the knee flexes backward rather than forward. This arrangement does not hamper the bat when it is perched but rather helps it push off from the roost for a quick getaway. They are very agile even on land, scuttling quickly over objects and squeezing their bodies through small openings.",Tropical and lowland rainforests as well as savannas,Herbivorous or frugivorous
Bat-Eared Fox,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351450/Bat-Eared_Fox_qe8xc5.png,Octocyon megalotis,"As the name indicates, this fox has unusually enormous ears in proportion to its head, like those of many bats. Their bodies are generally yellow-brown with a pale throat and under parts. The outsides of the ears, the racoon-like “face-mask,” lower legs, feet, and tail tip are all black. Their legs are relatively short. Aside from their large ears, they are unique from other foxes by their teeth — they have more teeth than most placental mammals (46 to 50).","Prime habitat is short-grass plains and areas with bare ground, but they are also found in arid/semi-arid scrubland, and savanna.",Insectivorous
Bongo,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351451/Bongo_u7zp2j.png,Tragelaphus eurycerus,"There are two currently recognized subspecies — the mountain or eastern bongo and the lowland or western bongo. This antelope is the largest, heaviest, and most colorful African forest antelope. It has an auburn or chestnut coat with 10 to 15 vertical whitish-yellow stripes running down its sides.  Females are usually more brightly colored than males. Both males and females have spiraled lyre-shaped horns. The large ears are believed to sharpen hearing, and the distinctive coloration may help bongos identify one another in their dark forest habitats. They have no special secretion glands and so rely less on scent to find one another than do other similar antelopes.","Rainforests, dense forests, and forest-savannas",Herbivorous
Bonobo,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351453/Bonobo_rautiy.png,Pan paniscus,"Our closest cousins, bonobos share 98.7 percent of our genetic makeup. They are about two-thirds the size of humans and are covered with dark hair. They are distinguished by their black faces, red lips, two or three webbed toes, a tail tuft, and parted long hair. Unlike their closest cousins, the common chimpanzees, they are not divided into subspecies.","Lowland rainforest, swamp forests",Frugivorous
Bushbuck,https://res.cloudinary.com/dvpva0mcr/image/upload/v1785351453/Bushbuck_me5aul.png,Tragelaphus scriptus,"The bushbuck is an antelope with geometrically shaped white patches or spots on the most mobile parts of its body — the ears, chin, tail, legs, and neck. Male bushbucks have horns, which are between 10 and 20 inches long and grow straight back. At 10 months, young males sprout strongly twisted horns that form the first loop of a spiral at maturity.  ",Wherever there is adequate cover — typically found in forest edges or brushy cover near rivers and streams.,Herbivorous
